name	CURIE
MROH2A	HGNC:43658
RNF215	HGNC:33434
FOXB2	HGNC:23315
LRRIQ4	HGNC:34298
IGLJ1	HGNC:5863
IGKJ1	HGNC:5719
IGHJ1	HGNC:5532
MAGEB16	HGNC:21188
IGHD1-1	HGNC:5482
TRAJ3	HGNC:12059
ZC3H11B	HGNC:25659
TRBD1	HGNC:12158
HNRNPA1L3	HGNC:48778
MAGEB17	HGNC:17418
LRRC53	HGNC:25255
MROH6	HGNC:27814
IQANK1	HGNC:49576
C1orf122	HGNC:24789
INAFM1	HGNC:27406
TRBJ2-7	HGNC:12175
TRBJ1-6	HGNC:12167
ZNF728	HGNC:32463
TMEM244	HGNC:21571
TMEM247	HGNC:42967
TTC24	HGNC:32348
CT47B1 CT47.13	HGNC:33293
LRRC30	HGNC:30219
RNF222	HGNC:34517
CCDC175 C14orf38	HGNC:19847
ANKRD60 C20orf86	HGNC:16217
SH2D7	HGNC:34549
TMEM253 C14orf176 C14orf95	HGNC:32545
KLHL33	HGNC:31952
TMEM202	HGNC:33733
CASC2 C10orf5	HGNC:22933
SMIM17	HGNC:27114
TRBJ2-6	HGNC:12174
TRAJ42	HGNC:12073
CDIPTOSP CDIPT-AS1 T-ENOL	HGNC:48609
TRPC5OS TRPC5-AS1	HGNC:40593
LRRC10B	HGNC:37215
ZNF561-AS1 C19orf82	HGNC:27613
SND1-IT1 C7orf54 NAG8	HGNC:24158
ANKDD1B	HGNC:32525
C9orf129	HGNC:31116
C16orf96	HGNC:40031
SMIM18	HGNC:42973
ANKRD61	HGNC:22467
MKRN2OS C3orf83, MKRN2-AS1	HGNC:40375
HRCT1 UNQ338/PRO537	HGNC:33872
PRR25 gs64	HGNC:37230
TMEM221	HGNC:21943
TRBJ2-1	HGNC:12168
CCDC166	HGNC:41910
TRAJ31	HGNC:12061
TRBJ1-5	HGNC:12166
TRBJ1-3	HGNC:12164
TRBJ1-4	HGNC:12165
TRBJ1-1	HGNC:12162
CXorf65	HGNC:33713
TRBJ2-2	HGNC:12169
TRBJ2-4	HGNC:12172
C8orf88	HGNC:44672
TRBJ2-5	HGNC:12173
SMIM6 C17orf110	HGNC:40032
RD3L	HGNC:40912
C19orf48	HGNC:29667
P3R3URF	HGNC:53451
TEX52	HGNC:53643
CCDC192 LINC01183	HGNC:49566
C11orf98	HGNC:51238
ATP6V1FNB	HGNC:52392
CXorf51A CXorf51	HGNC:30533
CCDC200	HGNC:43658
RIIAD1 C1orf230	HGNC:26686
IQCF6	HGNC:35158
FAM167A-AS1 C8orf12	HGNC:15548
CCDC201	HGNC:54081
ANKRD40CL C17orf73 LINC00483	HGNC:26080
RNF224	HGNC:41912
PRR33 C11orf89	HGNC:35118
C17orf100	HGNC:34494
SMKR1	HGNC:43561
C19orf84	HGNC:27112
C9orf92	HGNC:19054
LINC01556 C6orf100	HGNC:21195
MIR1-1HG C20orf166	HGNC:16159
CCDC28A-AS1 GVQW2	HGNC:51715
C19orf71	HGNC:34496
EFCAB8	HGNC:34532
C4orf36	HGNC:28386
C12orf71	HGNC:34452
C6orf163	HGNC:21403
IQCM	HGNC:53443
TMEM238L	HGNC:44356
LBHD2	HGNC:52384
GAFA1	not found
LINC01554 C5orf27	HGNC:24687
SMIM10L2B LINC00087 NCRNA00087	HGNC:34500
SMIM10L2A LINC00086 NCRNA00086	HGNC:34499
C5orf58	HGNC:37272
C13orf46	HGNC:53786
C10orf143	HGNC:48677
C13orf42	HGNC:42693
C17orf98	HGNC:34492
C11orf86	HGNC:34442
MYOCOS	HGNC:53429
C4orf51	HGNC:37264
ARL14EPL	HGNC:44201
PNMA6F PNMA6BL	HGNC:53119
LINC01560 CXorf24	HGNC:27333
SPEGNB	HGNC:51251
PHGR1	HGNC:37226
ARMH2 C6orf229	HGNC:49394
LINC01558 C6orf123	HGNC:21235
LINC01548 C21orf54	HGNC:1296
SMIM10L1	HGNC:49847
FAM201A C9orf122	HGNC:27239
TEX53	HGNC:53655
SMIM45 LINC00634	HGNC:27930
C19orf81	HGNC:40041
C5orf67	HGNC:51252
TEX49	HGNC:48628
PNMA6E	HGNC:50767
PRR9	HGNC:32057
UNQ5815/PRO19632	not found
C1orf232	HGNC:53426
ETDC	HGNC:53450
ETDA	HGNC:53449
LINC01545	HGNC:17986
ETDB	HGNC:44269
C3orf86	HGNC:44570
C17orf114	HGNC:55343
C7orf77	HGNC:51256
OCR1	not found
PP632	not found
