	gene_curie	phenotypes	total_phenotypes	homologs	total_homologs	ortholog_phenotypes	total_ortholog_phenotypes
0	HGNC:43658	[['heel bone mineral density', 'EFO:0009270', ['https://archive.monarchinitiative.org/#gwascatalog']]]	1	['not found']	0	['not found']	0
1	HGNC:33434	[['sex hormone-binding globulin measurement', 'EFO:0004696', ['https://archive.monarchinitiative.org/#gwascatalog']], ['pulse pressure measurement', 'EFO:0005763', ['https://archive.monarchinitiative.org/#gwascatalog']], ['platelet crit', 'EFO:0007985', ['https://archive.monarchinitiative.org/#gwascatalog']]]	3	[['rnf215', 'ZFIN:ZDB-GENE-060526-65', 'Danio rerio', ['https://archive.monarchinitiative.org/#panther', 'https://archive.monarchinitiative.org/#zfin']], ['gol', 'FlyBase:FBgn0004919', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#panther']], ['Rnf215', 'MGI:1918923', 'Mus musculus', ['https://archive.monarchinitiative.org/#panther']], ['C18B12.4', 'WormBase:WBGene00007666', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#panther']], ['Rnf215', 'RGD:1310738', 'Rattus norvegicus', ['https://archive.monarchinitiative.org/#panther']], ['H10E21.5', 'WormBase:WBGene00019185', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSCAFG00000012692', 'ENSEMBL:ENSCAFG00000012692', 'Canis lupus familiaris', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSECAG00000020939', 'ENSEMBL:ENSECAG00000020939', 'Equus caballus', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSFCAG00000027494', 'ENSEMBL:ENSFCAG00000027494', 'Felis catus', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSMMUG00000042819', 'ENSEMBL:ENSMMUG00000042819', 'Macaca mulatta', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSPTRG00000014242', 'ENSEMBL:ENSPTRG00000014242', 'Pan troglodytes', ['https://archive.monarchinitiative.org/#panther']], ['RNF215', 'ENSEMBL:ENSBTAG00000003394', 'Bos taurus', ['https://archive.monarchinitiative.org/#panther']], ['FlyBase:CG6923', 'FlyBase:CG6923', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSMODG00000009289', 'ENSEMBL:ENSMODG00000009289', 'Monodelphis domestica', ['https://archive.monarchinitiative.org/#panther']], ['RNF215', 'ENSEMBL:ENSGALG00000040925', 'Gallus gallus', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSACAG00000009503', 'ENSEMBL:ENSACAG00000009503', 'Anolis carolinensis', ['https://archive.monarchinitiative.org/#panther']]]	16	[['viable', 'FBcv:0000349', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#flybase']], ['lethal', 'WBPhenotype:0000062', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#wormbase']], ['resistant to protein aggregation induced paralysis', 'WBPhenotype:0001936', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#wormbase']]]	3
2	HGNC:23315	['not found']	0	[['foxb2', 'ZFIN:ZDB-GENE-081104-320', 'Danio rerio', ['https://archive.monarchinitiative.org/#panther', 'https://archive.monarchinitiative.org/#zfin']], ['si:rp71-45k5.2', 'ZFIN:ZDB-GENE-060503-753', 'Danio rerio', ['https://archive.monarchinitiative.org/#panther']], ['zgc:113424', 'ZFIN:ZDB-GENE-050227-9', 'Danio rerio', ['https://archive.monarchinitiative.org/#panther']], ['si:ch211-239d6.2', 'ZFIN:ZDB-GENE-141216-439', 'Danio rerio', ['https://archive.monarchinitiative.org/#panther']], ['fd96Cb', 'FlyBase:FBgn0004898', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#panther']], ['fd96Ca', 'FlyBase:FBgn0004897', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#panther']], ['Foxb2', 'MGI:1347468', 'Mus musculus', ['https://archive.monarchinitiative.org/#panther']], ['FKH1', 'SGD:S000001393', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#panther']], ['HCM1', 'SGD:S000000661', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#panther']], ['lin-31', 'WormBase:WBGene00003017', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSPTRG00000029242', 'ENSEMBL:ENSPTRG00000029242', 'Pan troglodytes', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSMODG00000012804', 'ENSEMBL:ENSMODG00000012804', 'Monodelphis domestica', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSMMUG00000021769', 'ENSEMBL:ENSMMUG00000021769', 'Macaca mulatta', ['https://archive.monarchinitiative.org/#panther']], ['FOXB2', 'ENSEMBL:ENSBTAG00000032983', 'Bos taurus', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSFCAG00000046576', 'ENSEMBL:ENSFCAG00000046576', 'Felis catus', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSECAG00000033811', 'ENSEMBL:ENSECAG00000033811', 'Equus caballus', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSACAG00000023403', 'ENSEMBL:ENSACAG00000023403', 'Anolis carolinensis', ['https://archive.monarchinitiative.org/#panther']], ['sep1', 'PomBase:SPBC4C3.12', 'Schizosaccharomyces pombe 972h-', ['https://archive.monarchinitiative.org/#panther']], ['mei4', 'PomBase:SPBC32H8.11', 'Schizosaccharomyces pombe 972h-', ['https://archive.monarchinitiative.org/#panther']], ['A0A0G2K7J9', 'ENSEMBL:ENSRNOG00000032137', 'Rattus norvegicus', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSXETG00000036375', 'ENSEMBL:ENSXETG00000036375', 'Xenopus tropicalis', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSOANG00000021049', 'ENSEMBL:ENSOANG00000021049', 'Ornithorhynchus anatinus', ['https://archive.monarchinitiative.org/#panther']], ['FOXB2', 'ENSEMBL:ENSSSCG00000005279', 'Sus scrofa', ['https://archive.monarchinitiative.org/#panther']], ['FOXB2', 'ENSEMBL:ENSCAFG00000001637', 'Canis lupus familiaris', ['https://archive.monarchinitiative.org/#panther']]]	24	[['resistance to chemicals:decreased', 'MONARCH:APO_0000087APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['multivulva', 'WBPhenotype:0000700', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#wormbase']], ['viable', 'FBcv:0000349', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#flybase']], ['viable', 'FBcv:0000349', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#flybase']], ['competitive fitness:decreased', 'MONARCH:APO_0000110APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['resistance to chemicals:increased', 'MONARCH:APO_0000087APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['chromosome/plasmid maintenance:abnormal', 'MONARCH:APO_0000143APO_0000002', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['viable', 'APO:0000113', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['innate thermotolerance:increased', 'MONARCH:APO_0000334APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['oxidative stress resistance:increased', 'MONARCH:APO_0000083APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['oxidative stress resistance:decreased', 'MONARCH:APO_0000083APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['small', 'WBPhenotype:0000229', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#wormbase']], ['visible', 'FBcv:0000354', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#flybase']], ['chemical compound accumulation:abnormal', 'MONARCH:APO_0000095APO_0000002', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['heat sensitivity:increased', 'MONARCH:APO_0000147APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['cell size:increased', 'MONARCH:APO_0000052APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['haploproficient', 'APO:0000330', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['protein/peptide accumulation:increased', 'MONARCH:APO_0000149APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['chronological lifespan:decreased', 'MONARCH:APO_0000316APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['vegetative growth:decreased', 'MONARCH:APO_0000106APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['innate thermotolerance:decreased', 'MONARCH:APO_0000334APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['prion formation:increased', 'MONARCH:APO_0000276APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['haploinsufficient', 'APO:0000152', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['replicative lifespan:decreased', 'MONARCH:APO_0000317APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['replicative lifespan:increased', 'MONARCH:APO_0000317APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['oxidative stress resistance:decreased', 'MONARCH:APO_0000083APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['growth in exponential phase:decreased rate', 'MONARCH:APO_0000310APO_0000245', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['cell cycle progression through the G2/M phase transition:delayed', 'MONARCH:APO_0000257APO_0000249', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['telomere length:increased', 'MONARCH:APO_0000144APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['colony sectoring:increased', 'MONARCH:APO_0000197APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['respiratory growth:increased rate', 'MONARCH:APO_0000309APO_0000246', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['protein/peptide modification:increased', 'MONARCH:APO_0000131APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['protein/peptide modification:decreased', 'MONARCH:APO_0000131APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['protein activity:increased', 'MONARCH:APO_0000022APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['protein activity:decreased', 'MONARCH:APO_0000022APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['respiratory growth:decreased rate', 'MONARCH:APO_0000309APO_0000245', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['resistance to chemicals:increased', 'MONARCH:APO_0000087APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['competitive fitness:normal', 'MONARCH:APO_0000110APO_0000117', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['resistance to chemicals:normal', 'MONARCH:APO_0000087APO_0000117', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['cell cycle progression:increased rate', 'MONARCH:APO_0000253APO_0000246', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['chromosome/plasmid maintenance:decreased', 'MONARCH:APO_0000143APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['haploproficient', 'APO:0000330', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['vacuolar morphology:abnormal', 'MONARCH:APO_0000059APO_0000002', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['viable', 'APO:0000113', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['chronological lifespan:increased', 'MONARCH:APO_0000316APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['vegetative growth:decreased', 'MONARCH:APO_0000106APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['vegetative growth:decreased rate', 'MONARCH:APO_0000106APO_0000245', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['silencing:decreased', 'MONARCH:APO_0000046APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['innate thermotolerance:decreased', 'MONARCH:APO_0000334APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['RNA accumulation:increased', 'MONARCH:APO_0000224APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['mating type switching:abnormal', 'MONARCH:APO_0000196APO_0000002', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['cell cycle progression through the G2/M phase transition:delayed', 'MONARCH:APO_0000257APO_0000249', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['vulval cell lineage variant', 'WBPhenotype:0000239', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#wormbase']], ['vulval cell induction increased', 'WBPhenotype:0000218', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#wormbase']], ['vulva cell fate specification variant', 'WBPhenotype:0000220', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#wormbase']], ['spicules crumpled', 'WBPhenotype:0000296', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#wormbase']], ['long', 'WBPhenotype:0000022', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#wormbase']], ['egg laying defective', 'WBPhenotype:0000006', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#wormbase']], ['protruding vulva', 'WBPhenotype:0000697', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#wormbase']], ['vulvaless', 'WBPhenotype:0000698', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#wormbase']], ['locomotion variant', 'WBPhenotype:0000643', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#wormbase']], ['transgene expression reduced', 'WBPhenotype:0001278', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#wormbase']], ['male mating defective', 'WBPhenotype:0001414', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#wormbase']], ['cell fate specification process quality, abnormal', 'ZP:0013172', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#wormbase']], ['abnormal oviposition', 'FBcv:0006004', 'Caenorhabditis elegans', ['https://archive.monarchinitiative.org/#wormbase']]]	65
3	HGNC:34298	[['ocular sarcoidosis', 'EFO:0010723', ['https://archive.monarchinitiative.org/#gwascatalog']]]	1	[['CG3494', 'FlyBase:FBgn0035008', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#panther']], ['Lrriq4', 'MGI:1915557', 'Mus musculus', ['https://archive.monarchinitiative.org/#panther']], ['CYR1', 'SGD:S000003542', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#panther']], ['Lrriq4', 'RGD:2323202', 'Rattus norvegicus', ['https://archive.monarchinitiative.org/#panther']], ['LRRIQ4', 'ENSEMBL:ENSCAFG00000014726', 'Canis lupus familiaris', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSFCAG00000004402', 'ENSEMBL:ENSFCAG00000004402', 'Felis catus', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSMMUG00000021884', 'ENSEMBL:ENSMMUG00000021884', 'Macaca mulatta', ['https://archive.monarchinitiative.org/#panther']], ['LRRIQ4', 'ENSEMBL:ENSSSCG00000023679', 'Sus scrofa', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSPTRG00000015607', 'ENSEMBL:ENSPTRG00000015607', 'Pan troglodytes', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSMODG00000016103', 'ENSEMBL:ENSMODG00000016103', 'Monodelphis domestica', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSACAG00000015750', 'ENSEMBL:ENSACAG00000015750', 'Anolis carolinensis', ['https://archive.monarchinitiative.org/#panther']], ['cyr1', 'PomBase:SPBC19C7.03', 'Schizosaccharomyces pombe', ['https://archive.monarchinitiative.org/#panther']]]	12	[['viable', 'FBcv:0000349', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#flybase']], ['heat sensitivity:increased', 'MONARCH:APO_0000147APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['innate thermotolerance:increased', 'MONARCH:APO_0000334APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['cell cycle progression in G1 phase:arrested', 'MONARCH:APO_0000255APO_0000250', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['competitive fitness:increased', 'MONARCH:APO_0000110APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['resistance to chemicals:decreased', 'MONARCH:APO_0000087APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['transposable element transposition:decreased', 'MONARCH:APO_0000047APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['chemical compound accumulation:increased', 'MONARCH:APO_0000095APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['cell size:normal', 'MONARCH:APO_0000052APO_0000117', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['protein/peptide accumulation:decreased', 'MONARCH:APO_0000149APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['inviable', 'APO:0000112', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['chronological lifespan:increased', 'MONARCH:APO_0000316APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['vegetative growth:decreased', 'MONARCH:APO_0000106APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['cell cycle passage through START:arrested', 'MONARCH:APO_0000256APO_0000250', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['replicative lifespan:decreased', 'MONARCH:APO_0000317APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['replicative lifespan:increased', 'MONARCH:APO_0000317APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['oxidative stress resistance:increased', 'MONARCH:APO_0000083APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['oxidative stress resistance:decreased', 'MONARCH:APO_0000083APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['respiratory growth:decreased', 'MONARCH:APO_0000309APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']]]	19
4	HGNC:5863	['not found']	0	['not found']	0	['not found']	0
5	HGNC:5719	['not found']	0	['not found']	0	['not found']	0
6	HGNC:5532	['not found']	0	['not found']	0	['not found']	0
7	HGNC:21188	['not found']	0	[['ndnl2', 'ZFIN:ZDB-GENE-031107-3', 'Danio rerio', ['https://archive.monarchinitiative.org/#panther']], ['MAGE', 'FlyBase:FBgn0037481', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#panther']], ['NSE3', 'SGD:S000002696', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#panther']], ['Mageb16', 'RGD:1562365', 'Rattus norvegicus', ['https://archive.monarchinitiative.org/#panther']], ['Mageb16', 'MGI:1919217', 'Mus musculus', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSECAG00000029895', 'ENSEMBL:ENSECAG00000029895', 'Equus caballus', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSACAG00000011664', 'ENSEMBL:ENSACAG00000011664', 'Anolis carolinensis', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSMODG00000011382', 'ENSEMBL:ENSMODG00000011382', 'Monodelphis domestica', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSSSCG00000012218', 'ENSEMBL:ENSSSCG00000012218', 'Sus scrofa', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSSSCG00000037401', 'ENSEMBL:ENSSSCG00000037401', 'Sus scrofa', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSECAG00000028130', 'ENSEMBL:ENSECAG00000028130', 'Equus caballus', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSGALG00000040480', 'ENSEMBL:ENSGALG00000040480', 'Gallus gallus', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSFCAG00000045190', 'ENSEMBL:ENSFCAG00000045190', 'Felis catus', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSOANG00000020339', 'ENSEMBL:ENSOANG00000020339', 'Ornithorhynchus anatinus', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSMODG00000016736', 'ENSEMBL:ENSMODG00000016736', 'Monodelphis domestica', ['https://archive.monarchinitiative.org/#panther']], ['nse3', 'PomBase:SPCC645.04', 'Schizosaccharomyces pombe', ['https://archive.monarchinitiative.org/#panther']], ['DDB0186138', 'dictyBase:DDB_G0284679', 'Dictyostelium discoideum', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSPTRG00000021781', 'ENSEMBL:ENSPTRG00000021781', 'Pan troglodytes', ['https://archive.monarchinitiative.org/#panther']], ['ENSEMBL:ENSSSCG00000034690', 'ENSEMBL:ENSSSCG00000034690', 'Sus scrofa', ['https://archive.monarchinitiative.org/#panther']]]	19	[['viable', 'FBcv:0000349', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#flybase']], ['increased cell death', 'FBcv:0000425', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#flybase']], ['increased cell number', 'FBcv:0000362', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#flybase']], ['lethal', 'FBcv:0000351', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#flybase']], ['visible', 'FBcv:0000354', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#flybase']], ['chemical sensitive', 'FBcv:0000440', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#flybase']], ['radiation sensitive', 'FBcv:0000442', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#flybase']], ['abnormal neuroanatomy', 'FBcv:0000435', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#flybase']], ['partially lethal', 'FBcv:0002015', 'Drosophila melanogaster', ['https://archive.monarchinitiative.org/#flybase']], ['competitive fitness:increased', 'MONARCH:APO_0000110APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['heat sensitivity:increased', 'MONARCH:APO_0000147APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['chromosome/plasmid maintenance:decreased', 'MONARCH:APO_0000143APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['haploproficient', 'APO:0000330', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['mutation frequency:increased', 'MONARCH:APO_0000198APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['inviable', 'APO:0000112', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['chromosome/plasmid maintenance:abnormal', 'MONARCH:APO_0000143APO_0000002', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['innate thermotolerance:increased', 'MONARCH:APO_0000334APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['killer toxin resistance:decreased', 'MONARCH:APO_0000081APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['oxidative stress resistance:decreased', 'MONARCH:APO_0000083APO_0000003', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']], ['colony sectoring:increased', 'MONARCH:APO_0000197APO_0000004', 'Saccharomyces cerevisiae S288C', ['https://archive.monarchinitiative.org/#sgd']]]	20
8	HGNC:5482	['not found']	0	['not found']	0	['not found']	0
9	HGNC:12059	['not found']	0	['not found']	0	['not found']	0
